feature,p-value,effect_size,q-value
TM4SF4,2.2382726005819102e-14,0.4630091249956507,1.4104407639899653e-10
GAL3ST1,3.15605451776676e-14,0.46031765856568096,1.4104407639899653e-10
PDZK1IP1,1.2505355860799047e-12,0.43048083071344506,3.725762356127396e-09
SMIM6,2.123662588591791e-12,0.42602068634378093,4.745324054208357e-09
HOGA1,3.2199587015482107e-12,0.4224833304643921,5.017649439495804e-09
CFAP221,3.3683034948506186e-12,0.42209883526011077,5.017649439495804e-09
IGFBP1,4.254530687753872e-12,0.4200994601978475,5.427186954043612e-09
CPEB2,4.9096010075835246e-12,0.41886907554414704,5.427186954043612e-09
SERPINA6,5.464833585409767e-12,0.4179462870538717,5.427186954043612e-09
C4BPA,8.594716184167551e-12,0.4140244359702015,7.681957325408957e-09
SERPINA3,9.555296765687551e-12,0.4131016474799262,7.764112953792303e-09
CRP,1.255028329582622e-11,0.41071777721338154,9.137436073290687e-09
RTN4,1.358023009101784e-11,0.41002568584567506,9.137436073290687e-09
NR1H4,1.4312385883426898e-11,0.40956429160053737,9.137436073290687e-09
GUCA2B,4.255206424077625e-11,0.39987501245264634,2.5355356678937206e-08
CCL2,9.59770803429048e-11,0.39249270453044366,4.911941313730617e-08
BICC1,1.0093369044461658e-10,0.39203131028530597,4.911941313730617e-08
HSD3B7,1.1160908166379521e-10,0.39110852179503064,4.911941313730617e-08
PTGFR,1.1254694350546799e-10,0.39103162275417436,4.911941313730617e-08
VNN1,1.1540698991759115e-10,0.3908009256316055,4.911941313730617e-08
NEURL3,1.275745986375962e-10,0.3898781371413302,5.183008011921977e-08
UGT2A3,1.4944750995025523e-10,0.38841705536506094,5.658972593432354e-08
HAVCR1,1.5195272123783453e-10,0.3882632572833483,5.658972593432354e-08
TRIM47,1.9006762748189547e-10,0.38618698318022887,6.795297817732726e-08
WBP2,2.0643417104560913e-10,0.38541799277166605,7.096571618483286e-08
UGT2B7,3.517979956074612e-10,0.38041955511600795,1.0653446360458882e-07
SERPINA5,3.575781951373534e-10,0.38026575703429544,1.0653446360458882e-07
CHST9,4.0398612386858047e-10,0.37911227142145126,1.1647832177862492e-07
GLIS3,4.346002182624011e-10,0.3784201800537447,1.2138927346341693e-07
RBPMS,4.947099904014107e-10,0.3771897954000443,1.3399145133963056e-07
TNFAIP6,5.234916838868553e-10,0.37665150211405035,1.3761672560531506e-07
HEXIM1,5.674612218863073e-10,0.37588251170548753,1.449133828919947e-07
RBKS,9.70179938978334e-10,0.3707302759681169,2.2819653406811446e-07
TMEM37,1.0256756710530636e-09,0.370191982682123,2.2918722869680705e-07
ANXA13,1.250301870371797e-09,0.368269506660716,2.328166274454817e-07
ACVR1,1.201843795035231e-09,0.3686540018649974,2.328166274454817e-07
SLC23A1,1.2306942888580268e-09,0.36842330474242857,2.328166274454817e-07
PLA2G4C,1.1552184490743898e-09,0.3690384970692788,2.328166274454817e-07
SLC17A3,1.1191922877755004e-09,0.36934609323270395,2.328166274454817e-07
RNF19A,1.1644001758145273e-09,0.36896159802842254,2.328166274454817e-07
ITIH5,1.3213559614503527e-09,0.3677312133747221,2.4102611394782147e-07
FGA,1.3963405592448132e-09,0.3671929200887281,2.496098383706028e-07
DEFB1,1.452423973918466e-09,0.36680842488444676,2.545444211545735e-07
KCNJ16,1.4871215185952065e-09,0.36657772776187786,2.556133102539222e-07
CRYZ,2.1154643712785692e-09,0.3631172709233454,3.00127310325204e-07
FGL1,2.1154643712785692e-09,0.3631172709233454,3.00127310325204e-07
MMP7,2.050483875584949e-09,0.3634248670867705,3.00127310325204e-07
MMP24,1.8094635773148974e-09,0.3646552517404709,3.00127310325204e-07
HNF1B,2.0187269900670977e-09,0.36357866516848303,3.00127310325204e-07
KLHDC7A,1.8524462361983389e-09,0.36442455461790213,3.00127310325204e-07
VTN,2.0187269900670977e-09,0.36357866516848303,3.00127310325204e-07
